Pos_Threshold,Pos_Density,Neg_Threshold,Neg_Density
2.35595536233032,0.141039075818646,2.35595536233032,0.000290130465947
2.36137482576234,0.138516009621894,2.36137482576234,0.000271488679296
2.36679428919436,0.136049735382975,2.36679428919436,0.000253891723984
2.37221375262638,0.13363964960084,2.37221375262638,0.000237292375819
2.3776332160584,0.13128509883476,2.3776332160584,0.000221644743158
2.38305267949042,0.128985381793772,2.38305267949042,0.000206904286441
2.38847214292244,0.126739751486966,2.38847214292244,0.000193027832528
2.39389160635446,0.12454741742893,2.39389160635446,0.000179973584139
2.39931106978648,0.12240754789451,2.39931106978648,0.000167701124691
2.4047305332185,0.12031927221697,2.4047305332185,0.000156171418807
2.41014999665052,0.118281683123527,2.41014999665052,0.000145346808799
2.41556946008254,0.116293839102182,2.41556946008254,0.000135191007405
2.42098892351456,0.114354766793747,2.42098892351456,0.000125669087055
2.42640838694658,0.112463463402947,2.42640838694658,0.000116747465955
2.4318278503786,0.110618899122485,2.4318278503786,0.000108393891246
2.43724731381062,0.108820019564028,2.43724731381062,0.00010057741951
2.44266677724264,0.107065748190097,2.44266677724264,9.32683948694003E-05
2.44808624067466,0.105354988740964,2.44808624067466,8.64384249359404E-05
2.45350570410668,0.103686627650743,2.45350570410668,8.00603548430993E-05
2.4589251675387,0.102059536447006,2.4589251675387,7.41082395880713E-05
2.46434463097072,0.100472574128398,2.46434463097072,6.8557314906567E-05
2.46976409440274,0.098924589514898,2.46976409440274,6.33839668873209E-05
2.47518355783476,0.097414423565556,2.47518355783476,5.85657005253379E-05
2.48060302126678,0.095940911658729,2.48060302126678,5.40811074020571E-05
2.4860224846988,0.094502885830076,2.4860224846988,4.99098326701239E-05
2.49144194813082,0.093099176963794,2.49144194813082,4.60325415098295E-05
2.49686141156284,0.091728616932794,2.49686141156284,4.24308852137734E-05
2.50228087499486,0.09039004068382,2.50228087499486,3.90874670457869E-05
2.50770033842688,0.089082288263725,2.50770033842688,3.59858080098446E-05
2.5131198018589,0.087804206783421,2.5131198018589,3.31103126544845E-05
2.51853926529092,0.086554652316268,2.51853926529092,3.04462350283131E-05
2.52395872872294,0.085332491727983,2.52395872872294,2.79796448924489E-05
2.52937819215496,0.084136604435376,2.52937819215496,2.56973942863083E-05
2.53479765558698,0.082965884091571,2.53479765558698,2.35870845340245E-05
2.540217119019,0.081819240195585,2.540217119019,2.16370337699622E-05
2.54563658245102,0.080695599624481,2.54563658245102,1.98362450533579E-05
2.55105604588304,0.079593908086529,2.55105604588304,1.81743751340003E-05
2.55647550931506,0.07851313149415,2.55647550931506,1.66417039231718E-05
2.56189497274708,0.077452257255623,2.56189497274708,1.5229104716723E-05
2.5673144361791,0.076410295484843,2.5673144361791,1.39280152102301E-05
2.57273389961112,0.075386280128652,2.57273389961112,1.27304093396319E-05
2.57815336304314,0.074379270011523,2.57815336304314,1.16287699746012E-05
2.58357282647516,0.073388349797608,2.58357282647516,1.0616062486159E-05
2.58899228990718,0.072412630870388,2.58899228990718,9.68570920466842E-06
2.5944117533392,0.071451252130402,2.5944117533392,8.83156477938379E-06
2.59983121677122,0.070503380711694,2.59983121677122,8.04789244612318E-06
2.60525068020324,0.069568212617871,2.60525068020324,7.32934120541435E-06
2.61067014363527,0.068644973278797,2.61067014363527,6.67092390958614E-06
2.61608960706728,0.067732918029154,2.61608960706728,6.06799625376791E-06
2.62150907049931,0.066831332510235,2.62150907049931,5.51623666256172E-06
2.62692853393133,0.065939532996511,2.62692853393133,5.01162706129916E-06
2.63234799736335,0.065056866648606,2.63234799736335,4.55043451822957E-06
2.63776746079537,0.064182711694488,2.63776746079537,4.12919374172818E-06
2.64318692422739,0.063316477540747,2.64318692422739,3.74469041462888E-06
2.64860638765941,0.062457604815958,2.64860638765941,3.39394534606088E-06
2.65402585109143,0.061605565348204,2.65402585109143,3.07419941970107E-06
